,Job Title,Company,Description
22,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
23,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
24,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
25,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
26,HR Business Partner - New York,Foreign & Commonwealth Office,"Resolve first level benefit questions for both local and diplomatic staff, and provide support for staff in accessing benefits systems to find doctors, explain…"
27,Paris Program Coordinator,Barnard College,"Be available, including evenings and weekends, to assist individual students with local information and advice, translation help and for unexpected doctor…"
28,Doctor of Chiropractic,ReKinect,"Highly motivated and can work independently.
Able to have flexible schedules.
Good understanding of manual therapy."
29,Registered Nurse,"Ariel Ostad, MD PC","Assisting the doctor in exam rooms.
Experience with NexTech EMR system is a plus and 3+ years dermatology or plastic surgery background is required."
30,Patient Coordinator / Call Center,Manhattan Vision Associates,"Communicating and coordinating with doctors and colleagues as necessary.
Answer multi-line phones, handle the caller’s needs and/or direct the caller to the…"
31,Clerical Associate - L II,NYC Health + Hospitals,"Answers the telephone, answers inquires and questions, and assists patients, doctors, department personnel, and hospital personnel, as needed."
32,Register Nurse,Humana,All of our caregivers have the support of professional care managers and receive some of the best training in the industry.
33,DOCTOR RECRUITER (OPTOMETRY),20/20NOW VISION CENTER,"Coordinating doctor credentialing for customers.
Through the use of automated equipment and real-time HD video conferencing, 20/20 enables remotely present…"
34,F/T Office/Billing Manager for Chiropractic Office in Manhat...,Active Chiropractic Healthcare,"All phases of front desk/appointment scheduling and patient/staff management required, including basic assistance with the doctor."
35,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
36,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
37,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
38,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
39,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
40,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
41,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
42,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
43,Behavioral Health Therapist,Tia,"Tia encourages honest and transparent conversations about patients’ health, both with their care team and their community of members, to help women make…"
44,Telephone Representative II,1199SEIU Family of Funds,"Communicate with doctors, hospitals, and other professionals via telephone regarding 1199SEIU members, dependent eligibility for health benefits, claims, and…"
45,Part time Medical Front Desk Concierge,Vantage Plastic Surgery,"The secretary will provide all administrative duties supporting a doctor.
Hours are Tuesday 10 – 6, Thursday 12-6.
Medical billing knowledge is desirable."
46,Courier - Car,Capsule,"Available to work flexible hours that may include early mornings, evenings, weekends, nights and/or holidays.
Must have your own car."
47,Inventory Technician,Capsule,"Coordinates Pharmacy Inventory levels by ordering pharmaceuticals through direct accounts, vendors, and suppliers.
You have a High School diploma or GED."
48,OR Medical Equipment Sales Specialist,Sales Executives,"You will be calling on doctors and working closely with them on education and implementation of the equipment.
B2B Sales: 2 years (Required)."
49,Membership Coordinator,Society of Cannabis Clinicians,"This year marks our 20th anniversary as an organization advocating for doctor and patient rights.
ALL APPLICANTS MUST ANSWER QUESTIONS BELOW."
50,Research Clinic Administrative Assistant,The Medical Research Network,"Working closely with the rest of the office staff (coordinators and doctors) to ensure patients are seen on schedule.
Mon: 10 AM - 8 PM.
Tue: 9 AM - 5 PM."
51,RN (Registered Nurse),CEDAR PARK GROUP,"Collaborate with doctors and nurses to devise individualized care plans for patients.
We are looking for a communicative and warm professional to care for…"
52,Care Partner (Companion) - New York,Renewal Care,"Escorting clients to doctors’ appointments.
Our multidisciplinary professionals support our clients’ holistic well-being, providing services ranging from part…"
53,Ophthalmic Photographer - Retina,Vitreous Retina Macula Consultants of New York,"Our busy New York practice is seeking a certified CRA Ophthalmic Photographer who is looking to expand their knowledge, gain valuable experience, and build…"
54,Behavioral Health Therapist,Tia,"Tia encourages honest and transparent conversations about patients’ health, both with their care team and their community of members, to help women make…"
55,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
56,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
57,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
58,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
59,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
60,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
61,Optometric Technician,SightRite,"Assist residents and prepare them to be seen by the doctor.
Prepare the examination area hour before the doctor’s arrival.
At least High School Graduate."
62,Front Desk Receptionist,Fokas Eyecare,"You will also be expected to assist the doctor with patients.
Seeking full time receptionist for busy optometry office in Astoria.
On the job training provided."
63,Create Your Own Role,Capsule,"About Us: Capsule is rebuilding the $425 billion pharmacy industry from the inside out with an emotionally resonant experience, and technology that enables…"
64,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
65,Spanish Speaking Forest Hills Eye MD Front Office Staff,Forest Hills Eye MD,"Experienced Bilingual (Spanish English) staff needed immediately for Upscale Forest Hills Ophthalmologist’s office -Hours - Tues 12-5, Wed 12-8, Thurs 12-6."
66,Medical Provider (COVID-19 Support) MD/DO/NP/PA,Callen-Lorde,This care will take place Long Island City (Queens) and will include a maximum of 170 residents currently diagnosed with or symptomatic of COVID-19.
67,E-Discovery Project Manager,NuSources,"Terms: * Full-time, perm, base salary + performance bonus.
The E-Discovery Project Manager (EDPM) supports the firm's Litigation practice by managing projects…"
68,Medical Doctor,Fairview Nursing Care Center,"By participating in developing, implementing and maintaining standards of nursing practice.
Monitoring patients and documenting progress."
69,Orthodontic Assistant,Brooklyn Orthodontist,"The Orthodontic Assistant performs clinical and technical procedures under the supervision of the orthodontist as well as prepares the operatory and equipment,…"
70,Patient Care Coordinator,"Long Island Plastic Surgical Group, PC","Must be knowledgeable and have a full understanding about all doctor preferences in regard to cosmetic procedures.
Excellent written and communication skills."
71,Ophthalmic Photographer - Retina,Vitreous Retina Macula Consultants of New York,"Our busy New York practice is seeking a certified CRA Ophthalmic Photographer who is looking to expand their knowledge, gain valuable experience, and build…"
72,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
73,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
74,License Practical Nurse,Humana,All of our caregivers have the support of professional care managers and receive some of the best training in the industry.
75,Psychiatrist- Employed or Contract,Doctor On Demand,"Through live video visits, our hand-picked, US-trained doctors take patient history, perform an exam, and recommend a treatment plan."
76,RESEARCH SUPPORT SPECIALIST,SUNY Downstate Medical Center,"Incumbents would be responsible for quantitative and qualitative data collection, data analysis, report writing, and preparation of manuscripts for publication."
77,Entry-level Associate,Wigdor Law,"Benefits Offered: PTO (Paid Time Off), 401-K Plan, Medical, Dental, LTD/STD/LIFE Insurance.
Associates at Wigdor LLP are either recent law school graduates or…"
78,"Medical Doctor, MD, DO, Physiatrist",Center for Spine Care and Mobility,Located in the heart of the Flatiron district this practice prides itself on outcome based treatment plans and patient experience.
79,Doctor Partnership Manager,Capsule,Partner with healthcare professionals and those involved with patient care as an industry expert to educate them on Capsules offerings.
80,Inspector General,New York City DEPARTMENT OF INVESTIGATION,"Squad 2 is seeking an Inspector General that will manage the operations of an investigative unit that is comprised of investigators, attorneys, auditors, and…"
81,Creative Artists and Performers with Natural Care-giving Exp...,ComForCare NYC,"Such assistance consisting of home errands, doctor's appointments, medication reminders and meal preparation, but also planning day-to-day social activities,…"
82,Community Health Care Worker,EmblemHealth,"Support non-clinical barriers to care interventions including making doctors’ appointments, referrals to internal and external resources, assist with…"
83,Medical Doctor,Teams NYC,"Conduct routine check-ups to patients to assess their health condition and discover possible issues.
Give appropriate advice for healthy habits (diet, hygiene…"
84,Ophthalmic Photographer - Retina,Vitreous Retina Macula Consultants of New York,"Our busy New York practice is seeking a certified CRA Ophthalmic Photographer who is looking to expand their knowledge, gain valuable experience, and build…"
85,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
86,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
87,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
88,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
89,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
90,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
91,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
92,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
93,EEO/Chief Diversity Officer,Office of the Queens County District Attorney,The Office of the Queens County District Attorney (QDA) is seeking an EEO/Chief Diversity Officer to oversee the office’s Equal Employment Opportunity (EEO)…
94,Doctor ENT - MD- with ABMS Certificates for Qatar,PPLDynamics,"Salary is Tax free with Luxury accommodation , Brand New Car, Annual business class Tickets plus Private Health Insurance with the family plus School allowance…"
95,E-Discovery Project Manager,Paul Weiss Rifkind Wharton & Garrison LLP,"The EDPM will join case teams as a member responsible for management of all aspects of the e-discovery lifecycle.
Ensure vendor invoicing is complete."
96,Medical Doctor - New York license,CPC Management,"The role will oversee proper health assessments and consultation via our telemedicine service.
Inspect and review medical assessments."
97,Delivery Experience Associate,Capsule,"As a member of Capsule's Logistics Team, you will ensure our customers have a best in class experience.
You will partner with our pharmacy, logistics, and…"
98,Patient Service Representative,The Spine and Pain Institute of NY,"Schedule all types of procedures for all locations and doctors.
Patient Service Representatives*(""PSRs"" or ""Representatives"") at The Spine & Pain Institute of…"
99,Doctor of Optometry,Absolute Eyecare,"Our practice is equipped with the state of the art diagnostic instruments such Visual Field, Fundus Camera, OCT, B-scan Ultrasonography, Corneal Topography,…"
100,Medical Receptionist Front Desk,MedRite Urgent Care,"Maintain confidentiality of all doctor, staff and patient information.
Professionally assist doctors, staff, visitors and patients."
101,"Director, Pharmaceutical Partnerships","VuMedi, Inc","Be a part of a company that is beloved by doctors and improves patient care every day.
Skillfully lead BioPharma customers through the entire sales process from…"
102,Systems Associate,Doctors Without Borders | Médecins Sans Frontières,"The Systems Department in the U.S. office of Doctors Without Borders/ Médecins Sans Frontières (MSF) acts like the organization's central nervous system,…"
103,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
104,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
105,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
106,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
107,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
108,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
109,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
110,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
111,Assistant National Editor,The New York Times,Assistant National Editor The New York Times is looking for a multi-talented editor who will thrive in a fast-paced digital newsroom.You have a nose for news…
112,Mid-Market Business Development Manager,Capsule,"Identify, target and develop long lasting relationships with leading C-level executives and decision makers at the leadership level to make Capsule their…"
113,Per Diem Vascular Coordinator - Surgery,Mount Sinai Beth Israel Medical Center,"Reviews doctors' interpretations and patient files, and monitor patients.
The Vascular Coordinator performs basic and advanced ultrasound examinations in…"
114,Deputy Director,New York City NYC HOUSING AUTHORITY,"Reporting to the Director of Procurement, with broad latitude for independent judgment, the Deputy Director for Materials is responsible for the supervision and…"
115,Optician,SightRite,Travel to various locations within the 5 boroughs as needed to assist the doctors and to capture visual images for the doctor’s review.
116,Research Technician I-CyTOF Core,Weill Cornell Medicine,"This role leads efforts to design, optimize, and validate ultra-high plex proteomic and genomic assays using Imaging Mass Cytometry (CyTOF) and related…"
117,Technician (King's County),"Surgical Solutions, LLC","When SCMP is missing critical data, such as amissing doctor, room or procedure, alert your site lead to create.
In the Operating Room the Technicianwill."
118,Sales Representative,Stryker,"When onsite with clients, you use your product knowledge and quick thinking to solve product problems and inform doctors, nurses and other staff as to the…"
119,Security Officer - Bank Protection,G4S,"Major Medical, Dental and Vision.
In addition, G4S provides benefits that are automatically available to all full or part-time employees, whether you enroll in…"
120,Electro-Mechanical Technician/Apprentice,"ACE Medical Equipment, Inc.","We provide on-site services to a variety of facilities in New York, including hospital, nursing homes, doctor's offices, office-based surgery practices,…"
121,Orthodontic Dental Assistant,Orthodontics,"Looking for 100% solid orthodontic background.
We are a high tech, top quality, and patient care focused practice."
122,Telephone Representative II,1199SEIU Family of Funds,"Communicate with doctors, hospitals, and other professionals via telephone regarding 1199SEIU members, dependent eligibility for health benefits, claims, and…"
123,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
124,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
125,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
126,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
127,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
128,Caregiver/Assistant,ComForCare NYC,"Such assistance consisting of home errands, doctor's appointments, medication reminders and meal preparation, but also planning day-to-day social activities,…"
129,Medical Scribe,Renew Wound Care,Our team of medical doctors is currently seeking an experienced and knowledgeable Medical Scribe to assist our healthcare team with documenting patient medical…
130,Part Time Donor Services Representative (June 2020- April 20...,Doctors Without Borders | Médecins Sans Frontières,"The Marketing Team is responsible for executing integrated marketing efforts, including prospect, renewal, and cultivation campaigns and activities via all…"
131,Medical Receptionist,MedRite Urgent Care,"Maintain confidentiality of all doctor, staff and patient information.
Professionally assist doctors, staff, visitors and patients."
132,Medical Receptionist,TemPositions,"Minimum 2 years recent experience working in a hospital, clinic or doctor's office.
Interested applicants must have a minimum of at least 2 years recent and…"
133,Virtual Registered Nurse,Crossover Health,The Registered Nurse (RN) is an essential part of the collaborative patient care team that supports an exceptional patient experience.
134,Security Officer - Upscale,G4S,"Major Medical, Dental and Vision.
In addition, G4S provides benefits that are automatically available to all full or part-time employees, whether you enroll in…"
135,Surgical Coordinator,Omni Eye Specialist Pa,"Coordinates activities with other departments, or doctor offices - if necessary.
Consults with nurse managers, doctors and staff on medical problems, special…"
136,Sales Development Representative,DearDoc,"Researching doctor offices for key data.
Reporting key findings about leads to the Sales Development Rep team."
137,Sales & Marketing,Bozzuto,Converting leads into community tours by following up with all prospects and providing helpful and compelling information about the community and neighborhood.
138,Ophthalmic Photographer - Retina,Vitreous Retina Macula Consultants of New York,"Our busy New York practice is seeking a certified CRA Ophthalmic Photographer who is looking to expand their knowledge, gain valuable experience, and build…"
139,Dental Assistant,Bensonhurst Dental Care,"Assisting doctors thoroughly and completely with orthodontic procedures with a high degree of professionalism and efficiency.
Must maintain a healthy lifestyle."
140,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
141,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
142,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
143,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
144,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
145,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
146,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
147,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
148,Histotechnologist (Histology Technician) - Laboratory - Full...,Mount Sinai,"Able to work in a small multi-tasking lab with few technologists and able to interact with doctors, patients and nurses."
149,Psychologist - Telemedicine - Employed or Contract,Doctor On Demand,"Through live video visits, our hand-picked, US-trained doctors take patient history, perform an exam, and recommend a treatment plan."
150,Veterinary Assistants,The Animal Medical Center,"Communicate changes in patient’s behavior and voids to doctors and technicians.
Animal Medical Center is looking for veterinary assistants to assist during…"
151,Talent Sourcer,CLEAR - Corporate,"Source & build candidate pipelines for current and future key roles across the organization.
Research and market map the talent pool for various functions."
152,Medical Supplies Sales Representative,CIA Medical,"This is a flexible position that includes competitive, commission-based compensation.
You will receive payment on every order placed by any client you refer for…"
153,Marketing and Creative Intern,Sorate,"Manage relationships with overseas suppliers.
Assist with the creation of digital advertising campaigns.
Assist in the project management of all projects."
154,Medical Doctors (MDs) for Coronavirus Symptomatic Evalutions,ESAD International (COVID-19),"Seeking Medical Doctors (MDs) for COVID-19 Video Symptomatic Evalutions.
Providers who sign on with us can concentrate on practicing medicine while we optimize…"
155,Orthodontic Lab Technician,Orthodontic Specialists of White Plains,"High attention to detail by interpreting and following the doctor instructions.
Read prescriptions or specifications, and examine models and impressions, in…"
156,Medical Receptionists,New York Doctors Urgent Care,"Flexible hours and weekends will be required.
The ideal candidate must have two years of receptionist experience and exceptional customer service skills."
157,Veterinary Technician Assistant,Reade Street Animal Hospital,"The role is to maintaining facility cleanliness, along with support and assistance for doctors and veterinary technicians."
158,Hyperbaric Medicine Physician needed,Confidential,"\* Perform medical procedures as necessary.
\* Communicate information regarding diagnosis and treatment goals.
\* Medical license in good standing."
159,Veterinary Practice Manager,BluePearl Veterinary Partners,"You will partner and oversee the doctor team, medical team, and client service representatives, guiding them to the next level of development."
160,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
161,EMR Account Executive,CureMD Healthcare,"2+ years of experience selling Practice Management, Electronic Health Records & RCM software/solutions to office based doctors or physician organizations; or at…"
162,Dispensing Optician,Private Practice Ophthalmology,As an Optician you will work closely with the Doctor to ensure our patients receive a first-class eyecare experience while aiding them in purchasing the right…
163,Medical Doctor,Marco A. Garcia Medical Center,"We are looking for a responsible Physician to provide high quality medical care by examining patients and treating diseases.
Proven experience as a physician."
164,Retention Specialist,DearDoc,"Utilize retention strategies to retain existing customers.
Manage incoming calls and emails and handle appropriate follow-up calls and emails."
165,Partnerships Manager,Blink Health,"We prefer candidates who have experience selling to or implementing solutions for doctors, nurses, and other health care providers; a clinical background; or…"
166,Veterinary Client Services Representative (Receptionist),Williamsburg Veterinary Clinic,"Relaying appropriate information to/from clients to doctors.
We are looking for a full-time Client Services Representative who is a fast-learner with excellent…"
167,"Medicare Sales Representative -- North & Central Brooklyn, N...",Humana,"The MarketPoint Sales Representative - US makes sales presentations to potential qualified Medicare participants at their homes, doctors' offices, etc. using…"
168,Project Management For Social Change Internship,A/B Partners,"A commitment to social justice and a strong interest in strategic communications, advocacy, and social media are essential to succeed in this position."
169,"People Business Partner, Operations",Capsule,"You will help recruit, train, develop, retain, and engage our Operations teammates in the pursuit of our ambitious plans.
Call center experience a plus."
170,Field People Coordinator,CLEAR - Corporate,"You will play a critical role on the CLEAR Field People Team and will be accountable for numerous administrative tasks, coordinate a number of projects/programs…"
171,PURCHASE ASSOCIATE,SUNY Downstate Medical Center,"Professional placement contracts for recruitment of doctors and medical personnel.
The Department of Contracts and Procurement SUNY Downstate Health Sciences…"
172,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
173,Helpline Specialist-Elder Abuse,Weill Cornell Medicine,"The NYC Elder Abuse Center at Weill Cornell Medicine (NYCEAC) works with local, statewide and national partners to develop and implement innovative and…"
174,Orthodontic Dental Assistant,Orthodontics,"Looking for 100% solid orthodontic background.
We are a high tech, top quality, and patient care focused practice."
175,Patient Service Assistant - IM,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
176,Board Certified Plastic Surgeon,New Life Plastic Surgery Miami,"Flexible schedule from 2-3 surgical days per week (Mon-Sat surgical schedules).
Board Certified/Board Eligible Plastic."
177,Medical Doctor,Housing Works,"The medical doctor will coordinate all the services necessary for health promotion, maintenance, rehabilitation and the prevention of disease and disability."
178,Part Time Medical Assistant in gynecology office needed,"Joan Berman, M.D.","Answering phones, making appointments and taking messages for the doctors.
Medical assistant preferably with front desk experience."
179,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
180,Patient Service Assistant,"CareMount Medical, P.C.","Determine with the doctor, the necessary follow-up for medical diagnoses and symptoms over the phone.
Evaluate the significance of the patient's concerns and…"
181,Telemedicine Medical Scribe,Medical Director Services PC,"Must be able to pick up doctor's workflow routine and predict chart needs.
Medical Director Services is looking to hire a Medical Scribe to work alongside our…"
182,"Naturopathic Doctor - Brooklyn, NY",NuSpecies Holistic Health Centers,NuSpecies’ Naturopathic Doctors guide our clients through the journey of rebuilding their health naturally while also liaisoning the client’s existing medical…
183,Clinical Medical Assistant,Comprehensive Spine and Pain Center,"Candidate would assist doctor with health history work ups, preparing injections for doctor, reviewing records..
Medical assisting: 1 year (Required)."
184,Overnight Operations Manager,Capsule,"As a Pharmacy Operations Manager, you will serve as an integral part of a management team that oversees the pharmacy fulfillment team."
185,Account Executive,DearDoc,"DearDoc provides Artificial Intelligence for doctors to attract and keep new patients.
-Identify and call doctor’s offices to drive new client acquisition."
